id;name;price;capacity;price_per_gb;type;cache;form_factor;interface
2596;Kingston UV500B;809;1920;0.421;SSD;;2.5;SATA 6.0 Gb/s
2597;Transcend 220S;64.98;512;0.127;SSD;;M.2-2280;M.2 PCIe 3.0 X4
2598;MSI SPATIUM M480 PLAY;;1000;;SSD;1024;M.2-2280;M.2 PCIe 4.0 X4
2599;Lenovo ThinkPad OPAL;129.86;512;0.254;SSD;;M.2-2242;M.2 PCIe 4.0 X4
2600;Seagate BarraCuda;69.98;500;0.14;7200;16;3.5;SATA 3.0 Gb/s
2601;Seagate Constellation ES;53.99;1000;0.054;7200;32;3.5;SATA 3.0 Gb/s
2602;Hitachi A7K2000;;1000;;7200;32;3.5;SATA 3.0 Gb/s
2603;Western Digital Caviar SE16;79.98;320;0.25;7200;16;3.5;SATA 3.0 Gb/s
2604;Hitachi Travelstar 5K500.B;119.99;500;0.24;5400;8;2.5;SATA 3.0 Gb/s
2605;VisionTek mSATA;71.98;240;0.3;SSD;;mSATA;mSATA
2606;Western Digital Purple;71.09;2000;0.036;5400;64;3.5;SATA 6.0 Gb/s
2607;Western Digital Red Pro;219.45;2000;0.11;7200;64;3.5;SATA 6.0 Gb/s
2608;Western Digital SE;104;1000;0.104;7200;128;3.5;SATA 6.0 Gb/s
2609;Corsair Neutron XT;;960;;SSD;;2.5;SATA 6.0 Gb/s
2610;Intel SSDSCKJW240H601;39.99;240;0.167;SSD;;M.2-2280;M.2 SATA
2611;Seagate BarraCuda Pro;263.98;8000;0.033;7200;256;3.5;SATA 6.0 Gb/s
2612;Hitachi Ultrastar;197.73;1800;0.11;10500;128;2.5;SAS 12.0 Gb/s
2613;Seagate IronWolf Pro;275;8000;0.034;7200;256;3.5;SATA 6.0 Gb/s
2614;Seagate Exos X14;372.5;12000;0.031;7200;256;3.5;SATA 6.0 Gb/s
2615;Sony Optiarc;37.95;240;0.158;SSD;;2.5;SATA 6.0 Gb/s
2616;Seagate EXOS Enterprise;79;2000;0.04;7200;256;3.5;SATA 6.0 Gb/s
2617;Intel DC P4510;1750;4000;0.438;SSD;;2.5;U.2
2618;Toshiba N300 Pro;128.9;4000;0.032;7200;256;3.5;SATA 6.0 Gb/s
2619;KIOXIA EXCERIA PLUS;;500;;SSD;;M.2-2280;M.2 PCIe 3.0 X4
2620;HP S700 Pro;78.98;512;0.154;SSD;;2.5;SATA 6.0 Gb/s
2621;Western Digital Blue Mobile;76.63;500;0.153;5400;16;2.5;SATA 6.0 Gb/s
2622;Toshiba X300;299.51;8000;0.037;7200;256;3.5;SATA 6.0 Gb/s
2623;Western Digital easystore;;480;;SSD;;2.5;SATA 6.0 Gb/s
2624;Gigabyte AORUS Gen4 7000s Premium;;2000;;SSD;1024;M.2-2280;M.2 PCIe 4.0 X4
2625;VisionTek DLX3;75;1000;0.075;SSD;;M.2-2280;M.2 PCIe 3.0 X4
2626;Addlink S91;256.99;2000;0.128;SSD;;M.2-2230;M.2 PCIe 4.0 X4
2627;PNY CS3150;;2000;;SSD;;M.2-2280;M.2 PCIe 5.0 X4
2628;OWC Mercury Electra 6G;34;250;0.136;SSD;;2.5;SATA 6.0 Gb/s
2629;Western Digital RE3;53.23;500;0.106;7200;16;3.5;SATA 3.0 Gb/s
2630;Western Digital Caviar Green;138.63;750;0.185;5400;16;3.5;SATA 3.0 Gb/s
2631;Hitachi 7K1000;39.99;1000;0.04;7200;32;3.5;SATA 3.0 Gb/s
2632;Seagate BarraCuda;;1000;;5900;32;3.5;SATA 3.0 Gb/s
2633;Seagate BarraCuda;;2000;;5900;32;3.5;SATA 3.0 Gb/s
2634;Intel X25-M;300;160;1.875;SSD;;2.5;SATA 3.0 Gb/s
2635;Samsung Spinpoint F3 EG;;1500;;5400;32;3.5;SATA 3.0 Gb/s
2636;Western Digital Caviar Black;79.95;500;0.16;7200;32;3.5;SATA 6.0 Gb/s
2637;Western Digital AV-GP;63.8;1000;0.064;5400;64;3.5;SATA 3.0 Gb/s
2638;Western Digital Caviar Green;149.94;500;0.3;5400;16;3.5;SATA 3.0 Gb/s
2639;Kingston SSDNow V+100;159.99;128;1.25;SSD;;2.5;SATA 3.0 Gb/s
2640;OCZ Vertex 3;;240;;SSD;;2.5;SATA 6.0 Gb/s
2641;OCZ Agility 3;;120;;SSD;;2.5;SATA 6.0 Gb/s
2642;Western Digital Caviar Green;;1500;;5400;64;3.5;SATA 6.0 Gb/s
2643;Western Digital SiliconEdge Blue;;256;;SSD;;2.5;SATA 3.0 Gb/s
2644;Toshiba MK3261GSYN;;320;;7200;16;2.5;SATA 3.0 Gb/s
2645;Toshiba MK6465GSX;39;640;0.061;5400;8;2.5;SATA 3.0 Gb/s
2646;Seagate Barracuda Green;;1000;;5900;32;3.5;SATA 3.0 Gb/s
2647;Toshiba MK5076GSX;;500;;5400;8;2.5;SATA 3.0 Gb/s
2648;SanDisk Ultra;;120;;SSD;;2.5;SATA 3.0 Gb/s
2649;Western Digital Caviar Green;;1000;;5400;64;3.5;SATA 6.0 Gb/s
2650;Mushkin Chronos;;120;;SSD;;2.5;SATA 6.0 Gb/s
2651;ADATA S510;;120;;SSD;;2.5;SATA 6.0 Gb/s
2652;Western Digital AV-25;22.4;320;0.07;5400;16;2.5;SATA 3.0 Gb/s
2653;Kingston SSDNow V200;;256;;SSD;;2.5;SATA 6.0 Gb/s
2654;Kingston HyperX;;480;;SSD;;2.5;SATA 6.0 Gb/s
2655;Kingston HyperX 3K;;480;;SSD;;2.5;SATA 6.0 Gb/s
2656;Toshiba MK3259GSXP;;320;;5400;8;2.5;SATA 3.0 Gb/s
2657;OCZ RevoDrive;;50;;SSD;;PCIe;PCIe x4
2658;OCZ RevoDrive;;110;;SSD;;PCIe;PCIe x4
2659;Hitachi Ultrastar 7K4000;;3000;;7200;64;3.5;SATA 6.0 Gb/s
2660;Samsung 840;;500;;SSD;;2.5;SATA 6.0 Gb/s
2661;Intel 335;219;240;0.912;SSD;;2.5;SATA 6.0 Gb/s
2662;SanDisk ReadyCache;;32;;SSD;;2.5;SATA 6.0 Gb/s
2663;Toshiba Solid State Drive;;240;;SSD;;2.5;SATA 6.0 Gb/s
2664;Toshiba HDKPC08;;3000;;7200;64;3.5;SATA 3.0 Gb/s
2665;ADATA Premier Pro SP600;109.95;64;1.718;SSD;;2.5;SATA 6.0 Gb/s
2666;Intel DC S3700;417;200;2.085;SSD;;2.5;SATA 6.0 Gb/s
2667;Toshiba PH2100U-1I54;85.99;1000;0.086;5400;8;2.5;SATA 6.0 Gb/s
2668;Samsung ST750LM022/HN-M750MBB;;750;;5400;8;2.5;SATA 3.0 Gb/s
2669;Seagate Constellation ES.3;;4000;;7200;128;3.5;SATA 6.0 Gb/s
2670;Edge Tech Boost Pro Slim;;240;;SSD;;2.5;SATA 6.0 Gb/s
2671;Toshiba DT01ACA;;500;;7200;32;3.5;SATA 6.0 Gb/s
2672;Western Digital AV-GP;;3000;;5900;64;3.5;SATA 6.0 Gb/s
2673;Corsair Force LS;;120;;SSD;256;2.5;SATA 6.0 Gb/s
2674;Seagate STCL4000400 Retail Kit;;4000;;;64;3.5;SATA 6.0 Gb/s
2675;Kingston SSDNow E100;;100;;SSD;;2.5;SATA 6.0 Gb/s
2676;Crucial M550;;512;;SSD;;M.2-2280;M.2 SATA
2677;Corsair Force LX;;256;;SSD;;2.5;SATA 6.0 Gb/s
2678;Western Digital Red;185;5000;0.037;5400;64;3.5;SATA 6.0 Gb/s
2679;Intel 530;73.5;80;0.919;SSD;;M.2-2280;M.2 SATA
2680;Western Digital Green;;5000;;5400;64;3.5;SATA 6.0 Gb/s
2681;Samsung 845DC PRO;;400;;SSD;512;2.5;SATA 6.0 Gb/s
2682;Samsung 845DC PRO;;800;;SSD;;2.5;SATA 6.0 Gb/s
2683;Dell F617N;;300;;15000;16;3.5;SAS 6.0 Gb/s
2684;OCZ Vertex 460A;;480;;SSD;;2.5;SATA 6.0 Gb/s
2685;PNY CS1111;149;240;0.621;SSD;;2.5;SATA 6.0 Gb/s
2686;Mushkin Reactor;;512;;SSD;;2.5;SATA 6.0 Gb/s
2687;Transcend TS1TSSD370S;;1000;;SSD;;2.5;SATA 6.0 Gb/s
2688;Western Digital RE;;6000;;7200;128;3.5;SATA 6.0 Gb/s
2689;Samsung MMDOE56G5MXP-0VB;;256;;SSD;;2.5;SATA 3.0 Gb/s
2690;SanDisk Z400s;181.44;128;1.417;SSD;;M.2-2280;M.2 SATA
2691;Toshiba P300;;500;;7200;64;3.5;SATA 6.0 Gb/s
2692;Toshiba Q300;;240;;SSD;;2.5;SATA 6.0 Gb/s
2693;Samsung PM863;;3840;;SSD;;2.5;SATA 6.0 Gb/s
2694;SanDisk X400;;256;;SSD;;2.5;SATA 6.0 Gb/s
2695;Zotac T500;;240;;SSD;256;2.5;SATA 6.0 Gb/s
2696;Western Digital Gold;234.45;8000;0.029;7200;128;3.5;SATA 6.0 Gb/s
2697;AMD Radeon R3;;240;;SSD;;2.5;SATA 6.0 Gb/s
2698;AMD Radeon R3;;120;;SSD;;2.5;SATA 6.0 Gb/s
2699;OCZ RD400;;256;;SSD;;M.2-2280;M.2 PCIe 3.0 X4
2700;Kingston SSDNow KC400;125;256;0.488;SSD;;2.5;SATA 6.0 Gb/s
2701;Corsair Neutron XTi;;960;;SSD;;2.5;SATA 6.0 Gb/s
2702;Plextor M8Pe;;256;;SSD;512;M.2-2280;M.2 PCIe 3.0 X4
2703;Plextor M8Pe;;1000;;SSD;1024;PCIe;PCIe x4
2704;OCZ RD400A;;256;;SSD;;PCIe;PCIe x4
2705;OCZ RD400A;;512;;SSD;;PCIe;PCIe x4
2706;Seagate IronWolf Pro;;6000;;7200;256;3.5;SATA 6.0 Gb/s
2707;ADATA XPG SX8000;;256;;SSD;;M.2-2280;M.2 PCIe 3.0 X4
2708;SanDisk Z410;;240;;SSD;;2.5;SATA 6.0 Gb/s
2709;Toshiba X300;;5000;;7200;128;3.5;SATA 6.0 Gb/s
2710;Intel Pro 6000p;104.19;128;0.814;SSD;;M.2-2280;M.2 PCIe 3.0 X4
2711;Intel Pro 6000p;;256;;SSD;;M.2-2280;M.2 PCIe 3.0 X4
2712;Seagate ST3808110AS;;80;;7200;;3.5;SATA 3.0 Gb/s
2713;Crucial BX300;;120;;SSD;;2.5;SATA 6.0 Gb/s
2714;Hitachi Deskstar NAS;;6000;;7200;128;3.5;SATA 6.0 Gb/s
2715;Mushkin Triactor 3D;;512;;SSD;512;2.5;SATA 6.0 Gb/s
2716;Hitachi Ultrastar He8;;8000;;7200;128;3.5;SAS 12.0 Gb/s
2717;Kingston A1000;;120;;SSD;;2.5;SATA 6.0 Gb/s
2718;Kingston UV500B;;240;;SSD;;M.2-2280;M.2 SATA
2719;Seagate Barracuda Compute;;500;;SSD;;2.5;SATA 6.0 Gb/s
2720;Western Digital Purple;227.39;8000;0.028;5400;256;3.5;SATA 6.0 Gb/s
2721;Corsair MP300;;480;;SSD;;M.2-2280;M.2 PCIe 3.0 X2
2722;Kingston HyperX FURY RGB;;480;;SSD;;2.5;SATA 6.0 Gb/s
2723;TCSunBow X3;;480;;SSD;;2.5;SATA 6.0 Gb/s
2724;Seagate Barracuda Compute;;500;;SSD;;2.5;SATA 6.0 Gb/s
2725;Inland Professional;;512;;SSD;;M.2-2280;M.2 PCIe 3.0 X2
2726;TEAMGROUP MP34;;256;;SSD;;M.2-2280;M.2 PCIe 3.0 X4
2727;Seagate IronWolf NAS;;1920;;SSD;;2.5;SATA 6.0 Gb/s
2728;Western Digital Ultrastar;;8000;;7200;;3.5;SATA 6.0 Gb/s
2729;TEAMGROUP T-Force Vulcan;;1000;;SSD;;2.5;SATA 6.0 Gb/s
2730;SanDisk X600;;128;;SSD;;M.2-2280;M.2 SATA
2731;Patriot Viper Gaming VP4100;;2000;;SSD;;M.2-2280;M.2 PCIe 4.0 X4
2732;Intel DC S4500;296.14;1900;0.156;SSD;;2.5;SATA 6.0 Gb/s
2733;Intel D3-S4510;89.99;240;0.375;SSD;;2.5;SATA 6.0 Gb/s
2734;Intel Optane 900P;;280;;SSD;;2.5;U.2
2735;SanDisk X600;;128;;SSD;;2.5;SATA 6.0 Gb/s
2736;ADATA XPG SX8800 Pro;;1000;;SSD;;M.2-2280;M.2 PCIe 3.0 X4
2737;ADATA XPG GAMMIX S50;;1000;;SSD;;M.2-2280;M.2 PCIe 4.0 X4
2738;Biostar M700;;256;;SSD;;M.2-2280;M.2 PCIe 3.0 X4
2739;Biostar M700;;512;;SSD;;M.2-2280;M.2 PCIe 3.0 X4
2740;ADATA SU760;;1000;;SSD;;2.5;SATA 6.0 Gb/s
2741;Lenovo 4XB0W79582;496;1000;0.496;SSD;;M.2-2280;M.2 PCIe 3.0 X4
2742;Samsung PM871b;;128;;SSD;;2.5;SATA 6.0 Gb/s
2743;Samsung PM871b;;512;;SSD;;2.5;SATA 6.0 Gb/s
2744;Synology SNV3000;;400;;SSD;;M.2-22110;M.2 PCIe 3.0 X4
2745;Angelbird Wings MX2;;2000;;SSD;;PCIe;PCIe x2
2746;ADATA XPG GAMMIX S70;;1000;;SSD;;M.2-2280;M.2 PCIe 4.0 X4
2747;Neo Forza eSports;;512;;SSD;512;M.2-2280;M.2 PCIe 3.0 X4
2748;Neo Forza eSports;;256;;SSD;512;M.2-2280;M.2 PCIe 3.0 X4
2749;TEAMGROUP T-Create Expert;;2000;;SSD;;2.5;SATA 6.0 Gb/s
2750;ADATA XPG GAMMIX S41;;512;;SSD;;M.2-2280;M.2 PCIe 3.0 X4
2751;Integral M;;256;;SSD;;M.2-2280;M.2 PCIe 3.0 X4
2752;SanDisk Ultra;;250;;SSD;;M.2-2280;M.2 PCIe 3.0 X4
2753;Silicon Power P34A80;;256;;SSD;;M.2-2280;M.2 PCIe 3.0 X4
2754;Seagate IronWolf NAS;;4000;;5900;64;3.5;SATA 6.0 Gb/s
2755;YMTC ZHITAI;;512;;SSD;;M.2-2280;M.2 PCIe 3.0 X4
2756;Kingston DC450R;;7680;;SSD;;2.5;SATA 6.0 Gb/s
2757;Addlink S68;;1000;;SSD;;M.2-2280;M.2 PCIe 3.0 X4
2758;Seagate IronWolf 125;;250;;SSD;;2.5;SATA 6.0 Gb/s
2759;ADATA ATOM 30;;1000;;SSD;;M.2-2280;M.2 PCIe 3.0 X4
2760;ADATA ATOM 50;;512;;SSD;;M.2-2280;M.2 PCIe 4.0 X4
2761;Seagate Exos 7E8 512e;;8000;;7200;256;3.5;SATA 6.0 Gb/s
2762;KIOXIA EXCERIA PLUS;489.99;2000;0.245;SSD;;M.2-2280;M.2 PCIe 3.0 X4
2763;Western Digital Blue;119.99;6000;0.02;5400;64;3.5;SATA 6.0 Gb/s
2764;ADATA Legend 740;;500;;SSD;;M.2-2280;M.2 PCIe 3.0 X4
2765;TEAMGROUP T-Force Delta RGB Lite;;1000;;SSD;;2.5;SATA 6.0 Gb/s
2766;TEAMGROUP T-Force Cardea Zero Z340;;2000;;SSD;;M.2-2280;M.2 PCIe 3.0 X4
2767;Klevv CRAS C720;;1000;;SSD;;M.2-2280;M.2 PCIe 3.0 X4
2768;Inland Prime;;500;;SSD;;M.2-2280;M.2 PCIe 3.0 X4
2769;Silicon Power UD80;;500;;SSD;;M.2-2280;M.2 PCIe 3.0 X4
2770;HP S650;;240;;SSD;;2.5;SATA 6.0 Gb/s
2771;HP S650;;480;;SSD;;2.5;SATA 6.0 Gb/s
2772;Timetec 30TT253X2;;256;;SSD;;2.5;SATA 6.0 Gb/s
2773;Toshiba MG08;;16000;;7200;512;3.5;SATA 6.0 Gb/s
2774;Mushkin Delta;;1000;;SSD;;M.2-2280;M.2 PCIe 4.0 X4
2775;Western Digital WD Blue;;4000;;SSD;;2.5;SATA 6.0 Gb/s
2776;Western Digital SN530;;512;;SSD;;M.2-2242;M.2 PCIe 3.0 X4
2777;Netac NV5000-t;;1000;;SSD;;M.2-2280;M.2 PCIe 4.0 X4
2778;Netac NV2000;;1000;;SSD;;M.2-2280;M.2 PCIe 3.0 X4
2779;Lexar NM760;;2000;;SSD;;M.2-2280;M.2 PCIe 4.0 X4
2780;Lexar NM700;;256;;SSD;;2.5;SATA 6.0 Gb/s
2781;Addlink S95;334.44;4000;0.084;SSD;;M.2-2280;M.2 PCIe 4.0 X4
2782;AITC Kingsman KE680;;1000;;SSD;;M.2-2280;M.2 PCIe 4.0 X4
2783;Micron 5200 MAX;;480;;SSD;;2.5;SATA 6.0 Gb/s
2784;Toshiba MG09 4Kn SED;;18000;;7200;512;3.5;SATA 6.0 Gb/s
2785;Toshiba DT01-V;;1000;;5940;64;3.5;SATA 6.0 Gb/s
2786;Inland Enterprise;;480;;SSD;;2.5;SATA 6.0 Gb/s
2787;KingSpec XG7000 PRO;;512;;SSD;;M.2-2280;M.2 PCIe 4.0 X4
2788;Titanium Micro TH3500;49.99;500;0.1;SSD;;M.2-2280;M.2 PCIe 3.0 X4
2789;Addlink S93;;1000;;SSD;;M.2-2280;M.2 PCIe 4.0 X4
2790;Transcend MTE245S;66.67;500;0.133;SSD;;M.2-2280;M.2 PCIe 4.0 X4
2791;Seagate Barracuda PCIe;;500;;SSD;;M.2-2280;M.2 PCIe 4.0 X4
2792;Gigabyte M30;;1000;;SSD;;M.2-2280;M.2 PCIe 3.0 X4
2793;OWC Mercury Electra 6G;23.99;120;0.2;SSD;;2.5;SATA 6.0 Gb/s
2794;Lenovo ThinkStation;895;6000;0.149;7200;;3.5;SATA 6.0 Gb/s
2795;Gigabyte 4000E;;1000;;SSD;;M.2-2280;M.2 PCIe 4.0 X4
2796;Orico Troodon V500;;1000;;SSD;;M.2-2280;M.2 PCIe 3.0 X4
2797;AGI AI218;;4000;;SSD;;M.2-2280;M.2 PCIe 3.0 X4
2798;MSI SPATIUM M480 PRO HS;;2000;;SSD;;M.2-2280;M.2 PCIe 4.0 X4
2799;Seagate Enterprise Capacity;399.95;8000;0.05;7200;256;3.5;SAS 6.0 Gb/s
2800;Addlink S70;67.88;1000;0.068;SSD;;M.2-2280;M.2 PCIe 3.0 X4
2801;HP 2DP97AA#ABC;29.99;120;0.25;SSD;;2.5;SATA 6.0 Gb/s
2802;PNY XLR8;;240;;SSD;;2.5;SATA 6.0 Gb/s
2803;Intel DC S3710;688;1200;0.573;SSD;;2.5;SATA 6.0 Gb/s
2804;Intel 320;99;40;2.475;SSD;;2.5;SATA 3.0 Gb/s
2805;Seagate Constellation.2;;500;;7200;64;2.5;SATA 6.0 Gb/s
2806;OCZ Agility 3;149.99;60;2.5;SSD;;2.5;SATA 6.0 Gb/s
2807;ADATA Premier Pro SP900;96.47;64;1.507;SSD;;2.5;SATA 6.0 Gb/s
2808;SanDisk EXTREME PRO;299.99;960;0.312;SSD;;2.5;SATA 6.0 Gb/s
2809;Western Digital Purple;279;10000;0.028;5400;256;3.5;SATA 6.0 Gb/s
2810;Toshiba X300;245.99;12000;0.02;7200;256;3.5;SATA 6.0 Gb/s
2811;HP S700 Pro;37.99;256;0.148;SSD;;2.5;SATA 6.0 Gb/s
2812;Toshiba X300;182.15;4000;0.046;7200;256;3.5;SATA 6.0 Gb/s
2813;Integral M2;;256;;SSD;;M.2-2280;M.2 PCIe 3.0 X4
2814;ADATA Ultimate SU650;52.22;480;0.109;SSD;;M.2-2280;M.2 SATA
2815;Western Digital Scorpio Blue;29.95;250;0.12;5400;8;2.5;SATA 3.0 Gb/s
2816;Western Digital Caviar Blue;95.45;320;0.298;7200;8;3.5;PATA 100
2817;Intel 320;688.03;600;1.147;SSD;;2.5;SATA 3.0 Gb/s
2818;Seagate Constellation.2;89.98;1000;0.09;7200;64;2.5;SATA 6.0 Gb/s
2819;Hitachi 0J11563;;750;;5400;8;2.5;SATA 3.0 Gb/s
2820;Intel 320;375;600;0.625;SSD;;2.5;SATA 3.0 Gb/s
2821;Toshiba MQ01ABD075;;750;;5400;8;2.5;SATA 3.0 Gb/s
2822;VisionTek Data Fusion 2-way;412.72;240;1.72;SSD;;PCIe;PCIe x2
2823;Seagate 600 Pro;199;240;0.829;SSD;;2.5;SATA 6.0 Gb/s
2824;Western Digital RE;68.7;500;0.137;7200;64;3.5;SATA 6.0 Gb/s
2825;Samsung Data Center;109;240;0.454;SSD;;2.5;SATA 6.0 Gb/s
2826;Seagate SkyHawk;241.5;10000;0.024;7200;256;3.5;SATA 6.0 Gb/s
2827;Mushkin Source;33.29;120;0.277;SSD;;2.5;SATA 6.0 Gb/s
2828;Western Digital Purple;73;500;0.146;5400;64;3.5;SATA 6.0 Gb/s
2829;Sony Optiarc;59.95;480;0.125;SSD;;2.5;SATA 6.0 Gb/s
2830;Corsair MP400;;4000;;SSD;;M.2-2280;M.2 PCIe 3.0 X4
2831;KIOXIA EXCERIA PLUS G2;;2000;;SSD;;M.2-2280;M.2 PCIe 3.0 X4
2832;PNY XLR8 CS3030;489;4000;0.122;SSD;;M.2-2280;M.2 PCIe 3.0 X4
2833;Inland Professional;;128;;SSD;;2.5;SATA 6.0 Gb/s
2834;Nextorage G-Series;;1000;;SSD;;M.2-2280;M.2 PCIe 4.0 X4
2835;Intel D3-S4520;488.32;3840;0.127;SSD;;2.5;SATA 6.0 Gb/s
2836;Fantom Drives VENOM8;99.95;1000;0.1;SSD;;M.2-2280;M.2 PCIe 4.0 X4
2837;Netac NV5000-N;;500;;SSD;;M.2-2280;M.2 PCIe 4.0 X4
2838;Netac NV5000-N;;1000;;SSD;;M.2-2280;M.2 PCIe 4.0 X4
2839;Titanium Micro TH7175;314.99;4000;0.079;SSD;;M.2-2280;M.2 PCIe 4.0 X4
2840;HP FX700;;1000;;SSD;;M.2-2280;M.2 PCIe 4.0 X4
2841;Western Digital Caviar Blue;;320;;7200;16;3.5;SATA 3.0 Gb/s
2842;Western Digital AV-GP;;1000;;5400;32;3.5;SATA 3.0 Gb/s
2843;Western Digital AV-GP;49.95;160;0.312;5400;8;3.5;SATA 3.0 Gb/s
2844;Hitachi E7K1000;70;500;0.14;7200;32;3.5;SATA 3.0 Gb/s
2845;Samsung Spinpoint F3 EG;;2000;;5400;32;3.5;SATA 3.0 Gb/s
2846;Samsung Spinpoint F1 DT;;320;;7200;8;3.5;SATA 3.0 Gb/s
2847;OCZ Vertex 2;;100;;SSD;;2.5;SATA 3.0 Gb/s
2848;OCZ Agility 2;;200;;SSD;;2.5;SATA 3.0 Gb/s
2849;OCZ Agility 2;;120;;SSD;;2.5;SATA 3.0 Gb/s
2850;Hitachi Deskstar;;1000;;7200;32;3.5;SATA 3.0 Gb/s
2851;Seagate Constellation ES;;2000;;7200;64;3.5;SATA 3.0 Gb/s
2852;Western Digital Caviar Black;;640;;7200;64;3.5;SATA 6.0 Gb/s
2853;Kingston SSDNow V+100;;512;;SSD;;2.5;SATA 3.0 Gb/s
2854;Hitachi 7K1000.C;498;1000;0.498;7200;32;3.5;SATA 3.0 Gb/s
2855;Western Digital Caviar Green;;3000;;5400;64;3.5;SATA 3.0 Gb/s
2856;OCZ Vertex;;30;;SSD;;2.5;SATA 3.0 Gb/s
2857;Intel 510;;250;;SSD;;2.5;SATA 6.0 Gb/s
2858;Hitachi Deskstar 5K1000;;1000;;5400;8;3.5;SATA 3.0 Gb/s
2859;Western Digital Caviar Green;;2500;;5400;64;3.5;SATA 3.0 Gb/s
2860;Seagate SV35;;2000;;5900;64;3.5;SATA 6.0 Gb/s
2861;Western Digital Scorpio Black;;750;;7200;16;2.5;SATA 3.0 Gb/s
2862;Western Digital Scorpio Black;80;500;0.16;7200;16;2.5;SATA 3.0 Gb/s
2863;Western Digital Scorpio Black;;500;;7200;16;2.5;SATA 3.0 Gb/s
2864;Hitachi Travelstar Z7K320;87.55;250;0.35;7200;16;2.5;SATA 3.0 Gb/s
2865;Plextor PX-M2;;256;;SSD;;2.5;SATA 6.0 Gb/s
2866;Kingston HyperX;;240;;SSD;;2.5;SATA 6.0 Gb/s
2867;Western Digital VelociRaptor;;300;;10000;32;3.5;SATA 6.0 Gb/s
2868;Corsair Force GT;;240;;SSD;;2.5;SATA 6.0 Gb/s
2869;Western Digital AV-GP;;1000;;7200;16;3.5;SATA 6.0 Gb/s
2870;Hitachi Deskstar 7K1000.D;;1000;;7200;32;3.5;SATA 6.0 Gb/s
2871;Hitachi Travelstar 7K750;76.73;750;0.102;7200;16;2.5;SATA 3.0 Gb/s
2872;Samsung 830;;128;;SSD;;2.5;SATA 6.0 Gb/s
2873;Samsung 830;;512;;SSD;;2.5;SATA 6.0 Gb/s
2874;Crucial M4;;256;;SSD;;2.5;SATA 6.0 Gb/s
2875;Kingston SSDNow S50;;16;;SSD;;2.5;SATA 3.0 Gb/s
2876;Kingston SSDNow S50;;32;;SSD;;2.5;SATA 3.0 Gb/s
2877;Toshiba MK2002TSKB;;2000;;7200;64;3.5;SATA 3.0 Gb/s
2878;Seagate Momentus Thin;29;320;0.091;7200;16;2.5;SATA 3.0 Gb/s
2879;Seagate SV35.5;;1000;;7200;64;3.5;SATA 6.0 Gb/s
2880;Kingston HyperX 3K;206.01;120;1.717;SSD;;2.5;SATA 6.0 Gb/s
2881;ADATA Premier Pro SP900;;128;;SSD;;2.5;SATA 6.0 Gb/s
2882;Seagate Momentus Thin;;320;;7200;16;2.5;SATA 3.0 Gb/s
2883;Western Digital AV-GP;29.87;320;0.093;5400;16;3.5;SATA 3.0 Gb/s
2884;Mushkin Chronos;;240;;SSD;;2.5;SATA 6.0 Gb/s
2885;OCZ Vector;;256;;SSD;;2.5;SATA 6.0 Gb/s
2886;Toshiba PH3300U-1I72;129.99;3000;0.043;7200;64;3.5;SATA 6.0 Gb/s
2887;Corsair Force GS;;128;;SSD;;2.5;SATA 6.0 Gb/s
2888;Corsair Neutron GTX;;240;;SSD;;2.5;SATA 6.0 Gb/s
2889;Crucial M4;229;128;1.789;SSD;;mSATA;mSATA
2890;Toshiba MK2576GSX dup;;250;;5400;8;2.5;SATA 3.0 Gb/s
2891;Seagate BarraCuda;;250;;7200;16;3.5;SATA 3.0 Gb/s
2892;Seagate 600;;480;;SSD;;2.5;SATA 6.0 Gb/s
2893;Western Digital Green;;1500;;5400;64;2.5;SATA 3.0 Gb/s
2894;Western Digital RE;;2000;;7200;64;3.5;SATA 6.0 Gb/s
2895;Western Digital Xe;;600;;10000;32;3.5;SAS 6.0 Gb/s
2896;Hitachi Ultrastar 7K4000;;3000;;7200;64;3.5;SAS 6.0 Gb/s
2897;Hitachi Deskstar 7K4000;;4000;;7200;64;3.5;SATA 6.0 Gb/s
2898;Toshiba Q;;512;;SSD;;2.5;SATA 6.0 Gb/s
2899;Kingston SSDNow V+200;;120;;SSD;;2.5;SATA 6.0 Gb/s
2900;Samsung 840 Pro;;128;;SSD;;2.5;SATA 6.0 Gb/s
2901;Intel 530;189;180;1.05;SSD;;2.5;SATA 6.0 Gb/s
2902;Kingston SSDNow KC300;80.98;240;0.337;SSD;;2.5;SATA 6.0 Gb/s
2903;Toshiba MQ01ABF050H;;500;;;32;2.5;SATA 6.0 Gb/s
2904;Intel 530;321.99;480;0.671;SSD;;2.5;SATA 6.0 Gb/s
2905;OCZ Vertex 460;200;120;1.667;SSD;;2.5;SATA 6.0 Gb/s
2906;Seagate 600 Pro;;200;;SSD;;2.5;SATA 6.0 Gb/s
2907;PNY Optima;188.88;240;0.787;SSD;;2.5;SATA 6.0 Gb/s
2908;Samsung PM843;;120;;SSD;;2.5;SATA 6.0 Gb/s
2909;Intel 530;139.84;240;0.583;SSD;;mSATA;mSATA
2910;Kingston SSDNow M.2;;120;;SSD;256;M.2-2280;M.2 SATA
2911;ADATA Premier Pro SP900;;512;;SSD;;2.5;SATA 6.0 Gb/s
2912;Intel DC S3500;192;800;0.24;SSD;;2.5;SATA 6.0 Gb/s
